관리_건축물대장_PK,관리_상위_건축물대장_PK,새주소_지상지하_코드,주소,용적율,주건축물수,세대수,가구수,주차_대수
11530-602,,지상,서울특별시 구로구 경인로53길 15,174.92,5,0,0,3421
11590-824,,지상,서울특별시 동작구 상도로53길 8,229.25,28,1656,0,2275
11320-100207251,,지상,방학동 345-0,149.71,0,0,0,4
11470-100183612,,,서울특별시 양천구 안양천로 683,24.57,2,0,0,5
11305-252,,지상,서울특별시 강북구 오현로 9,94.29,4,0,0,0
11230-165,,지상,서울특별시 동대문구 장안벚꽃로 107,308.12,25,2264,0,2990
11200-399,,지상,송정동 73-36,4.63,33,0,0,0
11260-100259630,,지상,서울특별시 중랑구 동일로91길 23,299.99,5,453,0,557
11290-100253538,,지상,서울특별시 성북구 돌곶이로8길 22,244.51,15,1091,0,1308
11560-27,,지상,영등포동4가 428-17,0.0,2,0,1,0
11545-652,,지상,서울특별시 금천구 가산디지털1로 42,136.78,7,0,0,145
11620-175,,지상,서울특별시 관악구 청룡16길 25,119.53,3,0,0,75
11320-82,,지상,서울특별시 도봉구 노해로63길 75,291.6,5,205,0,247
11290-100259611,,지상,서울특별시 성북구 숭인로 50,299.9,27,2352,0,2610
11530-536,,지상,구로동 317-22,0.0,1,0,2,0
11230-1256,,지상,청량리동 1-1,0.0,0,0,0,80
11110-100187671,,지상,서울특별시 종로구 세종대로 175,71.2257,3,0,0,0
11740-100218045,,지상,길동 129-0,199.98,2,22,0,17
11440-100189233,,지상,서울특별시 마포구 모래내로 87,47.1979,2,0,0,7
11560-100186564,,지상,서울특별시 영등포구 도림로145길 28,249.52,3,121,0,143
11305-509,,지상,서울특별시 강북구 삼각산로 58,131.11,7,0,0,376
11215-557,,지상,서울특별시 광진구 뚝섬로33길 20,301.53,5,329,0,344
11545-464,,지상,서울특별시 금천구 금하로 793,249.47,22,2336,0,1641
11170-158,,지상,보광동 238-2,111.35,9,0,0,165
11740-374,,지상,서울특별시 강동구 상암로 11,393.53,17,2938,0,3012
11110-207,,지상,서울특별시 종로구 낙산길 198,0.0,14,1006,0,0
