관리_건축물대장_PK,관리_상위_건축물대장_PK,새주소_지상지하_코드,주소,동명칭,호_명,층_구분_코드_x,층_구분_코드_y,층_번호,면적
11710-100226585,11710-100226203,지상,서울특별시 송파구 올림픽로 145,상가,2A47,지상,40.0,0,20.7525
11710-100226580,11710-100226203,지상,서울특별시 송파구 올림픽로 145,상가,1A37,지상,10.0,3,6.4771
11710-100226584,11710-100226203,지상,서울특별시 송파구 올림픽로 145,상가,1A47,지상,40.0,0,0.5458
11710-100226579,11710-100226203,지상,서울특별시 송파구 올림픽로 145,상가,1A36,지상,40.0,0,16.6071
11710-100226583,11710-100226203,지상,서울특별시 송파구 올림픽로 145,상가,1A45,지상,10.0,3,7.0935
11710-100218994,11710-100218913,지상,서울특별시 송파구 올림픽로 435,114동,2101,지상,10.0,1,20.757
11710-100219034,11710-100218913,지상,서울특별시 송파구 올림픽로 435,114동,3101,지상,20.0,1,66.11
11710-100218934,11710-100218913,지상,서울특별시 송파구 올림픽로 435,114동,601,지상,20.0,1,190.83
11710-100218993,11710-100218913,지상,서울특별시 송파구 올림픽로 435,114동,2004,지상,10.0,1,38.952
11710-100218945,11710-100218913,지상,서울특별시 송파구 올림픽로 435,114동,804,지상,10.0,1,283.89
11710-100218952,11710-100218913,지상,서울특별시 송파구 올림픽로 435,114동,1003,지상,20.0,1,13.953
11710-100218951,11710-100218913,지상,서울특별시 송파구 올림픽로 435,114동,1002,지상,10.0,1,26.183
11710-100226263,11710-100226203,지상,서울특별시 송파구 올림픽로 145,상가,A35,지하,20.0,0,2.151
11710-100226571,11710-100226203,지상,서울특별시 송파구 올림픽로 145,상가,2A65,지상,40.0,0,0.3593
11710-100226573,11710-100226203,지상,서울특별시 송파구 올림픽로 145,상가,2A64-2,지상,40.0,0,13.9954
11710-100226574,11710-100226203,지상,서울특별시 송파구 올림픽로 145,상가,2A63,지상,10.0,3,5.4585
11710-100226575,11710-100226203,지상,서울특별시 송파구 올림픽로 145,상가,1A34,지상,40.0,0,0.42
11710-100226576,11710-100226203,지상,서울특별시 송파구 올림픽로 145,상가,2A58,지상,40.0,0,10.9693
11710-100226577,11710-100226203,지상,서울특별시 송파구 올림픽로 145,상가,1A35,지상,10.0,3,4.2783
11710-100226578,11710-100226203,지상,서울특별시 송파구 올림픽로 145,상가,2A57,지상,40.0,0,0.3292
11710-100226559,11710-100226203,지상,서울특별시 송파구 올림픽로 145,상가,1A23,지상,20.0,2,69.42
11710-100226572,11710-100226203,지상,서울특별시 송파구 올림픽로 145,상가,2A64-1,지상,10.0,3,4.6701
11710-100226484,11710-100226203,지상,서울특별시 송파구 올림픽로 145,상가,1A62,지상,10.0,1,33.57
11710-100226483,11710-100226203,지상,서울특별시 송파구 올림픽로 145,상가,2A27,지상,22.0,1,30.1
11710-100226482,11710-100226203,지상,서울특별시 송파구 올림픽로 145,상가,2A28,지상,21.0,-1,62.97
11710-100226254,11710-100226203,지상,서울특별시 송파구 올림픽로 145,상가,4B06,지상,40.0,0,7.39
11710-100226258,11710-100226203,지상,서울특별시 송파구 올림픽로 145,상가,A28,지하,10.0,0,3.43
11710-100226259,11710-100226203,지상,서울특별시 송파구 올림픽로 145,상가,A30,지하,40.0,0,4.802
11710-100226260,11710-100226203,지상,서울특별시 송파구 올림픽로 145,상가,A29,지하,40.0,0,1.166
11710-100226255,11710-100226203,지상,서울특별시 송파구 올림픽로 145,상가,C5,지하,40.0,0,1.795
11710-100226261,11710-100226203,지상,서울특별시 송파구 올림픽로 145,상가,A31,지하,10.0,0,2.229
11710-100226262,11710-100226203,지상,서울특별시 송파구 올림픽로 145,상가,A32,지하,40.0,0,0.694
11710-100226257,11710-100226203,지상,서울특별시 송파구 올림픽로 145,상가,C6,지하,20.0,0,3.309
11710-100226269,11710-100226203,지상,서울특별시 송파구 올림픽로 145,상가,A38,지하,40.0,0,8.671
11710-100226270,11710-100226203,지상,서울특별시 송파구 올림픽로 145,상가,A41,지하,20.0,0,3.883
11710-100226271,11710-100226203,지상,서울특별시 송파구 올림픽로 145,상가,A42,지하,40.0,0,1.253
11710-100226272,11710-100226203,지상,서울특별시 송파구 올림픽로 145,상가,A43-1,지하,10.0,0,4.025
11710-100226582,11710-100226203,지상,서울특별시 송파구 올림픽로 145,상가,2A48,지상,40.0,0,18.1876
11710-100226264,11710-100226203,지상,서울특별시 송파구 올림픽로 145,상가,A33,지하,40.0,0,5.843
11710-100226267,11710-100226203,지상,서울특별시 송파구 올림픽로 145,상가,A36-2,지하,10.0,0,2.712
11710-100226278,11710-100226203,지상,서울특별시 송파구 올림픽로 145,상가,4B02,지상,10.0,0,31.098
11710-100226265,11710-100226203,지상,서울특별시 송파구 올림픽로 145,상가,A34,지하,20.0,0,2.616
11710-100226266,11710-100226203,지상,서울특별시 송파구 올림픽로 145,상가,A36-1,지하,40.0,0,1.419
11710-100226581,11710-100226203,지상,서울특별시 송파구 올림픽로 145,상가,2A56,지상,40.0,0,0.4983
11710-100226558,11710-100226203,지상,서울특별시 송파구 올림픽로 145,상가,1A22,지상,20.0,1,63.3875
11710-100226590,11710-100226203,지상,서울특별시 송파구 올림픽로 145,상가,1A16,지상,40.0,0,0.8671
11710-100226586,11710-100226203,지상,서울특별시 송파구 올림픽로 145,상가,1A48,지상,10.0,3,8.0939
11710-100226589,11710-100226203,지상,서울특별시 송파구 올림픽로 145,상가,2A21,지상,10.0,3,11.27
11710-100226588,11710-100226203,지상,서울특별시 송파구 올림픽로 145,상가,1A65,지상,40.0,0,28.896
11710-100226587,11710-100226203,지상,서울특별시 송파구 올림픽로 145,상가,2A26,지상,40.0,0,0.6227
11710-100226359,11710-100226203,지상,서울특별시 송파구 올림픽로 145,상가,A72-1,지하,20.0,0,52.41
11710-100226277,11710-100226203,지상,서울특별시 송파구 올림픽로 145,상가,4B03,지상,40.0,0,16.27
11710-100226268,11710-100226203,지상,서울특별시 송파구 올림픽로 145,상가,A37,지하,40.0,0,0.844
11710-100226276,11710-100226203,지상,서울특별시 송파구 올림픽로 145,상가,4B04,지상,40.0,0,9.682
11710-100226275,11710-100226203,지상,서울특별시 송파구 올림픽로 145,상가,A45,지하,20.0,0,30.001
11710-100226219,11710-100226203,지상,서울특별시 송파구 올림픽로 145,상가,3A32,지상,20.0,0,33.24
11710-100226485,11710-100226203,지상,서울특별시 송파구 올림픽로 145,상가,1A63,지상,20.0,1,34.43
11710-100226557,11710-100226203,지상,서울특별시 송파구 올림픽로 145,상가,1A20,지상,20.0,1,41.8688
11710-100226274,11710-100226203,지상,서울특별시 송파구 올림픽로 145,상가,A44,지하,40.0,0,66.995
11710-100226273,11710-100226203,지상,서울특별시 송파구 올림픽로 145,상가,A43-2,지하,40.0,0,2.106
11710-100226493,11710-100226203,지상,서울특별시 송파구 올림픽로 145,상가,2A12,지상,10.0,1,22.26
11710-100224884,11710-100224773,지상,서울특별시 송파구 양재대로72길 5,,101동 1403호,지상,40.0,0,17.87
11710-100226556,11710-100226203,지상,서울특별시 송파구 올림픽로 145,상가,1A18,지상,20.0,1,53.4188
11500-100202456,11500-100202454,지상,서울특별시 강서구 화곡로20길 19-6,동원빌라,201호,지상,40.0,0,5.45
11710-100226555,11710-100226203,지상,서울특별시 송파구 올림픽로 145,상가,1A17,지상,20.0,1,45.7038
11710-100226561,11710-100226203,지상,서울특별시 송파구 올림픽로 145,상가,1A25,지상,20.0,2,110.293
11710-100226554,11710-100226203,지상,서울특별시 송파구 올림픽로 145,상가,1A14,지상,20.0,1,53.2413
11710-100226560,11710-100226203,지상,서울특별시 송파구 올림픽로 145,상가,1A24,지상,20.0,2,79.21
11710-100226223,11710-100226203,지상,서울특별시 송파구 올림픽로 145,상가,A92,지하,20.0,0,301.34
11710-100226222,11710-100226203,지상,서울특별시 송파구 올림픽로 145,상가,5B23,지상,20.0,0,39.0
11710-100226220,11710-100226203,지상,서울특별시 송파구 올림픽로 145,상가,5B24,지상,20.0,0,21.6
11710-100226221,11710-100226203,지상,서울특별시 송파구 올림픽로 145,상가,A17,지하,20.0,0,26.28
11710-100226256,11710-100226203,지상,서울특별시 송파구 올림픽로 145,상가,4B05,지상,40.0,0,1.068
11710-100226570,11710-100226203,지상,서울특별시 송파구 올림픽로 145,상가,2A61,지상,40.0,0,11.9741
11710-100226569,11710-100226203,지상,서울특별시 송파구 올림픽로 145,상가,1A33,지상,40.0,0,0.4186
11710-100226494,11710-100226203,지상,서울특별시 송파구 올림픽로 145,상가,2A10,지상,10.0,1,11.87
11710-100226568,11710-100226203,지상,서울특별시 송파구 올림픽로 145,상가,1A30,지상,10.0,3,5.4403
11710-100226567,11710-100226203,지상,서울특별시 송파구 올림픽로 145,상가,1A29,지상,40.0,0,13.9488
11545-100187097,11545-100186865,지상,서울특별시 금천구 가산디지털2로 53,한라시그마밸리,1803,지상,20.0,0,63.8
11710-100225874,11710-100225793,지상,서울특별시 송파구 올림픽로35길 10,상가B동,502,지상,20.0,1,42.24
11710-100221854,11710-100221750,지상,서울특별시 송파구 올림픽로 435,305동,2604,지상,20.0,1,23.1
11710-100217544,11710-100217492,지상,서울특별시 송파구 올림픽로 435,310동,1304,지상,40.0,0,11.04
11710-100232397,11710-100225793,지상,서울특별시 송파구 올림픽로35길 10,상가B동,505-1,지상,40.0,0,34.06
11710-100232398,11710-100225793,지상,서울특별시 송파구 올림픽로35길 10,상가B동,505-2,지상,40.0,0,3.21
11545-100187686,11545-10031,지상,서울특별시 금천구 가산디지털1로 168,우림 라이온스밸리,A-506-1,지상,40.0,0,20.7569
11545-100187685,11545-10031,지상,서울특별시 금천구 가산디지털1로 168,우림 라이온스밸리,A-506,지상,40.0,0,24.0239
11710-100212416,11710-100212415,지상,서울특별시 송파구 올림픽로 99,115동,101,지상,20.0,1,26.04
11710-100218181,11710-100218170,지상,서울특별시 송파구 올림픽로 435,308동,3304,지상,20.0,1,30.35
11710-100218182,11710-100218170,지상,서울특별시 송파구 올림픽로 435,308동,3401,지상,20.0,1,27.56
11500-100201414,11500-100200506,지상,서울특별시 강서구 강서로 267,송화쇼핑센터,B210,지하,20.0,2,39.22
11500-100201415,11500-100200506,지상,서울특별시 강서구 강서로 267,송화쇼핑센터,B211,지하,20.0,1,39.22
11500-100201473,11500-100200506,지상,서울특별시 강서구 강서로 267,송화쇼핑센터,G023호,지상,40.0,0,11.13
11500-100201424,11500-100200506,지상,서울특별시 강서구 강서로 267,송화쇼핑센터,B220,지하,20.0,1,41.34
11500-100201423,11500-100200506,지상,서울특별시 강서구 강서로 267,송화쇼핑센터,B219,지하,20.0,1,41.34
11500-100201416,11500-100200506,지상,서울특별시 강서구 강서로 267,송화쇼핑센터,B212,지하,20.0,1,39.22
11500-100201417,11500-100200506,지상,서울특별시 강서구 강서로 267,송화쇼핑센터,B213,지하,20.0,1,39.22
11500-100201419,11500-100200506,지상,서울특별시 강서구 강서로 267,송화쇼핑센터,B215,지하,20.0,1,39.22
