관리_건축물대장_PK,관리_상위_건축물대장_PK,새주소_지상지하_코드,주소,용적율,지상층수,지하층수,승강기_수,주차_대수
11590-100241986,11590-100241435,지상,서울특별시 동작구 사당로23길 112,0.0,1,0,0,0
11530-7503,,지상,서울특별시 구로구 구로중앙로 217,369.18,8,1,3,49
11530-2719,11530-844,지상,서울특별시 구로구 오리로21가길 47-10,0.0,3,1,0,0
11530-2718,11530-844,지상,서울특별시 구로구 오리로21가길 47-10,0.0,1,0,0,0
11530-22437,,지상,서울특별시 구로구 구로중앙로19길 28,197.13,4,1,0,2
11530-17081,,지상,서울특별시 구로구 개봉로 68,199.84,4,1,0,3
11530-12625,,지상,서울특별시 구로구 구로중앙로 210,173.56,5,1,1,12
11530-100189765,,지상,서울특별시 구로구 중앙로6길 40,155.24,3,0,0,3
11590-100188912,,지상,서울특별시 동작구 만양로14마길 7,189.2,4,2,0,4
11200-10473,,지상,서울특별시 성동구 고산자로6길 40,246.48,8,3,3,155
11200-6580,,지상,서울특별시 성동구 고산자로22길 13-1,175.4,4,1,0,2
11200-4536,11200-1211,지상,서울특별시 성동구 마장로 230-1,219.7,5,1,0,6
11200-21629,11200-756,지상,서울특별시 성동구 성수이로 77,199.19,4,1,0,4
11260-23720,,지상,서울특별시 중랑구 중랑역로 204,138.12,5,1,0,7
11260-18316,,지상,서울특별시 중랑구 봉화산로 49,144.36,3,1,0,0
11260-1000000000000001524604,,지상,서울특별시 중랑구 용마산로94길 74,199.88,5,0,1,3
11590-13843,,지상,서울특별시 동작구 동작대로 51,233.33,4,1,0,0
11140-16604,,지상,서울특별시 중구 퇴계로90길 18,150.46,3,0,0,1
11710-14776,,지상,서울특별시 송파구 오금로36길 26,162.88,4,1,0,3
11290-100202635,,지상,서울특별시 성북구 보문로29길 64,199.9033,6,1,1,11
11680-5670,,지상,서울특별시 강남구 선릉로64길 5,232.92,5,1,1,6
11140-7295,,지상,서울특별시 중구 퇴계로50길 24,147.87,3,1,0,3
11620-18262,,지상,서울특별시 관악구 관천로22길 43,168.63,4,1,0,0
11110-26788,,지상,서울특별시 종로구 경희궁2길 14,288.95,5,1,1,8
11170-1000000000000001641760,,지상,서울특별시 용산구 신흥로7길 58-1,130.82,3,1,0,1
11620-1000000000000001062779,,지상,서울특별시 관악구 양녕로2길 21,197.92,4,0,0,2
11620-33784,,지상,서울특별시 관악구 관천로11길 15,0.0,3,1,0,0
11170-12054,,지상,서울특별시 용산구 회나무로 32-3,153.0,5,1,0,0
11200-6515,11200-719,지상,서울특별시 성동구 마장로33길 79,0.0,2,1,0,0
11500-1000000000000001315208,,지상,서울특별시 강서구 화곡로15길 23,102.09,3,0,3,3
11140-17578,11140-731,지상,신당동 241-5,0.0,3,0,0,0
11590-100193852,,지상,서울특별시 동작구 상도로26길 22,286.77,6,1,1,0
11380-30439,,지상,서울특별시 은평구 연서로 94,0.0,5,1,0,0
11140-1000000000000001425922,,지상,서울특별시 중구 마른내로12길 17-26,293.3699,5,1,1,1
11170-7692,,지상,서울특별시 용산구 한강대로72길 17-14,0.0,1,0,0,0
11200-6967,11200-697,지상,마장동 574-0,0.0,1,0,0,0
11260-5024,11260-66,지상,서울특별시 중랑구 동일로 606,245.13,6,1,1,15
11440-11816,,지상,서울특별시 마포구 독막로 248,0.0,4,1,0,0
11215-12671,,지상,서울특별시 광진구 광나루로36길 27,196.99,4,1,0,4
11290-10540,,지상,서울특별시 성북구 보문로30길 43-4,94.23,2,1,0,0
11200-1000000000000001316083,,지상,서울특별시 성동구 고산자로8길 24-6,199.61,5,0,0,1
11710-14780,,지상,서울특별시 송파구 중대로16길 12-1,232.01,5,0,1,4
11110-7209,,지상,서울특별시 종로구 사직로10길 13,0.0,1,0,0,0
11200-1000000000000001617821,,지상,서울특별시 성동구 아차산로17길 14-1,263.26,5,1,1,4
11200-1000000000000001617847,,지상,서울특별시 성동구 왕십리로8길 22,25.34,1,0,0,2
11170-17438,,지상,서울특별시 용산구 회나무로6길 11-25,188.9394,2,0,0,0
11290-11771,,지상,서울특별시 성북구 아리랑로6길 4,0.0,2,1,0,0
11110-1000000000000000431084,,지상,서울특별시 종로구 필운대로5다길 19,83.35,2,0,0,0
11170-5855,,지상,서울특별시 용산구 한강대로17길 11,172.1,4,1,0,4
11140-1000000000000001428297,,지상,서울특별시 중구 퇴계로 452-1,738.63,15,2,1,2
11170-13083,,지상,서울특별시 용산구 보광로60길 14-13,0.0,2,1,0,0
11230-10162,,지상,서울특별시 동대문구 회기로 151-1,0.0,1,0,0,0
11170-11266,,지상,서울특별시 용산구 소월로 134,51.41,2,1,0,0
11110-11461,,지상,서울특별시 종로구 대학로11길 17-3,44.2,1,0,0,0
11110-25046,,지상,서울특별시 종로구 혜화로16길 44,83.67,3,1,0,0
11110-29155,,지상,서울특별시 종로구 율곡로 217-1,0.0,1,0,0,0
11110-100202837,,지상,서울특별시 종로구 삼청로 135,133.62,3,1,1,4
11140-13231,,지상,서울특별시 중구 충무로 50-6,0.0,3,0,0,0
11470-16382,,지상,서울특별시 양천구 목동중앙남로 51-1,0.0,3,1,0,0
11740-6880,,지상,서울특별시 강동구 천중로43길 72,229.0,5,1,0,7
11215-1361,,지상,서울특별시 광진구 능동로44길 11,0.0,3,1,0,3
11140-100234062,,지상,서울특별시 중구 을지로 66,0.0,6,0,3,0
11140-100234063,,지상,서울특별시 중구 을지로 66,0.0,1,0,0,0
11140-11895,,지상,서울특별시 중구 을지로38길 28-1,0.0,3,1,0,1
