관리_전유_공용_면적_pk,층_구분_코드,층_번호,면적
11260-100088962,40.0,0,20.71
11230-100073338,20.0,1,36.955
11230-100073339,20.0,1,36.955
11530-100096902,20.0,0,1.407
11260-100088963,40.0,0,20.13
11530-100096903,20.0,0,3.902
11530-100096904,20.0,0,3.211
11230-100073340,20.0,1,36.955
11500-8827,10.0,2,3.36
11260-100088964,40.0,0,20.71
11680-1000000000000000064312,20.0,5,22.53
11680-1000000000000000064313,40.0,0,8.84
11260-100088965,40.0,0,24.5
11260-100088966,40.0,0,25.21
11230-100073341,20.0,1,36.955
11680-1000000000000000064314,40.0,0,8.84
11260-100088967,40.0,0,27.59
11680-1000000000000000064315,40.0,0,17.72
11230-100073457,40.0,0,2.266
11230-100073458,40.0,0,15.394
11230-100073459,40.0,0,23.7546
11230-100073466,40.0,0,1.7393
11260-100088968,40.0,0,26.81
11230-100073342,20.0,1,35.717
11545-100148359,40.0,0,7.31
11545-100148360,40.0,0,14.67
11110-100029640,40.0,0,12.24
11545-100148361,40.0,0,6.16
11545-100148362,40.0,0,10.34
11545-100148363,40.0,0,8.72
11545-100148364,40.0,0,20.74
11545-100151913,40.0,0,25.72
11545-100151914,40.0,0,2.23
11545-100151916,40.0,0,25.72
11545-100151917,40.0,0,21.14
11545-100148365,40.0,0,4.01
11545-100148366,40.0,0,3.38
11545-100148367,40.0,0,8.05
11545-100148368,40.0,0,1.03
11545-100148369,40.0,0,0.87
11545-100151919,40.0,0,25.72
11545-100151920,40.0,0,21.14
11545-100151921,40.0,0,2.23
11545-100151925,40.0,0,32.4
11230-100073343,20.0,1,35.4
11545-100148370,40.0,0,2.08
11545-100148371,40.0,0,5.87
11545-100148372,40.0,0,4.95
11545-100148373,40.0,0,11.79
11545-100148374,40.0,0,3.42
11545-100148375,40.0,0,2.88
11545-100148376,40.0,0,6.86
11545-100148377,40.0,0,4.65
11110-100029641,40.0,0,4.59
11545-100148378,40.0,0,3.92
11110-100029643,40.0,0,4.62
11215-100098088,20.0,0,66.74
11545-100148379,40.0,0,9.33
11545-100148380,40.0,0,22.0
11545-100148381,40.0,0,18.56
11260-100100274,40.0,0,7.09
11230-100073456,40.0,0,11.139
11290-100059023,20.0,1,47.0
11290-100059024,20.0,1,28.86
11230-100081151,20.0,1,36.16
11545-100148382,40.0,0,44.13
11680-1000000000000000064316,20.0,2,22.53
11680-1000000000000000064317,40.0,0,18.44
11110-100029644,40.0,0,12.33
11110-100029645,40.0,0,5.89
11110-100029646,40.0,0,15.72
11530-100104979,40.0,0,42.6
11680-100091614,40.0,0,2.24
11530-100104982,40.0,0,4.39
11530-100104987,40.0,0,51.26
11680-100092172,40.0,0,91.3423
11680-100092207,10.0,3,86.8333
11260-100099628,10.0,1,2.36
11710-100230494,20.0,1,59.87
11530-100104974,40.0,0,8.69
11530-100104976,40.0,0,4.1
11530-100104977,40.0,0,8.73
11530-100104978,40.0,0,4.11
11530-100104980,40.0,0,9.33
11530-100104981,40.0,0,45.51
11530-100104983,40.0,0,10.48
11530-100104984,40.0,0,51.15
11530-100104985,40.0,0,4.94
11530-100104986,40.0,0,10.5
11530-100104989,40.0,0,9.3
11500-100222251,20.0,1,4.88
11500-100221958,20.0,1,46.2
11500-100221959,20.0,1,92.4
11545-100183002,20.0,1,36.54
11545-100183032,20.0,1,45.36
11230-100081158,20.0,1,12.43
11545-100183073,20.0,1,36.27
11545-100155674,10.0,1,19.66
11545-100155693,10.0,1,23.52
11545-100182991,20.0,1,36.54
11590-100056079,10.0,1,89.3
11590-100056080,10.0,1,113.95
11590-100056101,10.0,1,1.33
11590-100056102,10.0,1,11.69
11530-100105281,20.0,2,38.98
11530-100105282,20.0,2,40.97
11530-100105283,20.0,2,72.51
11530-100105296,20.0,2,8.93
11530-100105297,20.0,2,9.49
11530-100105298,20.0,2,9.89
11530-100105299,20.0,2,12.52
11620-100115079,20.0,2,0.87
11620-100115080,20.0,2,0.23
11620-100115081,40.0,0,3.73
11620-100115082,20.0,2,0.55
11620-100115087,20.0,2,1.81
11620-100115088,20.0,2,0.48
11620-100115089,40.0,0,7.99
11620-100115090,20.0,2,1.18
11620-100115091,20.0,4,1.81
11620-100115092,20.0,3,1.18
11620-100115093,20.0,3,0.48
11620-100115094,40.0,0,7.99
11620-100115099,20.0,3,1.82
11620-100115100,40.0,0,8.04
11620-100115101,20.0,3,0.49
11620-100115102,20.0,3,1.19
11620-100115103,20.0,4,1.82
11620-100115104,20.0,4,1.19
11620-100115105,40.0,0,8.04
11620-100115106,20.0,4,0.49
11620-100115111,20.0,2,1.88
11620-100115112,20.0,2,1.23
11620-100115113,40.0,0,8.3
11620-100115114,20.0,2,0.51
11620-100115115,20.0,4,1.88
11620-100115116,20.0,4,1.23
11620-100115117,20.0,4,0.51
11620-100115118,40.0,0,8.3
11620-100115123,20.0,3,2.01
11620-100115124,20.0,3,1.31
11620-100115125,20.0,3,0.54
11620-100115126,40.0,0,8.91
11620-100115127,20.0,4,2.01
11620-100115128,20.0,4,1.31
11620-100115129,40.0,0,8.91
11620-100115130,20.0,4,0.54
11545-100183867,40.0,0,15.8816
