건축물대장 관립번호,용적율,주건축물수,세대수,가구수,주차 대수
11410-100205741,199.65,2,16,0,13
11410-100206241,163.745,2,0,0,47
11410-100206421,199.23,2,15,0,12
11215-569,0.0,2,0,1,0
11215-570,0.0,2,0,1,0
11470-100223656,199.64,2,24,0,17
11320-269,0.0,2,0,1,0
11470-79,0.0,2,0,1,0
11260-591,249.54,10,858,0,832
11215-637,0.0,2,0,1,0
11290-100241576,235.93,13,629,0,708
11215-639,0.0,2,0,1,0
11215-644,0.0,2,0,1,0
11560-49,0.0,14,0,37,0
11320-307,106.07,2,0,1,7
11410-100206930,149.89,2,21,0,17
11215-25,229.81,2,12,0,8
11410-100207618,199.87,3,24,0,21
11215-625,0.0,2,0,1,0
11530-100263287,193.99,2,29,0,19
11470-100205245,199.93,4,40,0,29
11320-371,0.0,0,0,2,0
11215-635,0.0,2,0,1,0
11410-100207839,132.99,2,0,2,0
11410-100207899,242.78,4,88,0,116
11410-100208099,148.27,2,16,0,13
11410-100208147,66.18,2,0,0,0
11410-100208160,249.96,2,19,0,27
11560-100265229,52.87,2,0,1,0
11410-100208802,0.0,0,0,0,0
11410-100209241,202.89,2,23,0,19
11500-100286947,80.89,2,0,0,0
11410-100209481,149.38,2,16,0,13
11410-100209761,199.94,2,16,0,14
11320-347,0.0,2,4,0,0
11200-221,0.0,0,0,0,0
11410-100211249,149.65,2,13,0,11
11410-100212161,191.93,2,19,0,17
11410-100212921,149.63,3,36,0,29
11410-100213541,199.93,2,16,0,13
11200-1229,215.75,2,0,0,27
11410-100215149,200.05,2,16,0,13
11410-100215261,243.98,2,23,0,15
11230-100249494,77.81,2,24,0,23
11410-100215459,234.54,11,296,0,334
11410-100215879,180.24,2,24,0,19
11530-100205061,213.28,2,0,0,5
11320-155,31.03,3,0,0,2
11215-384,83.28,2,0,0,51
11410-100221442,149.7429,2,14,0,11
11410-100222261,199.95,5,49,0,40
11320-230,218.78,2,19,0,8
11320-231,116.82,2,19,0,6
11320-97,188.28,2,49,0,55
11320-233,188.1,2,18,0,6
11320-237,88.0,2,8,0,3
11320-238,195.43,2,19,0,8
11230-100249534,621.72,2,65,0,77
11470-419,147.74,2,0,0,18
11320-242,103.37,2,10,0,2
11560-26,0.0,2,0,1,0
11410-11,0.0,2,12,0,0
11200-984,47.14,10,0,0,16
11140-1163,0.0,3,0,0,0
11410-118,88.94,2,0,1,9
11305-696,0.0,2,0,2,0
11500-701,0.0,2,0,2,0
11410-119,155.6,3,0,1,1
11410-120,101.99,16,0,0,280
11320-19,0.0,0,19,0,0
11410-136,0.0,6,0,4,0
11560-816,78.62,3,0,0,2
11410-138,0.0,3,0,0,0
11410-14,0.0,7,610,0,0
11410-140,0.0,3,0,1,0
11410-143,0.0,2,0,2,0
11410-150,0.0,2,0,0,0
11530-371,73.97,3,0,0,18
11410-162,0.0,2,0,4,0
11170-100217619,75.13,2,12,0,25
11170-104,222.85,6,283,0,478
11650-129,270.07,2,161,0,397
11410-171,46.68,0,0,0,98
11410-174,131.14,3,0,1,0
11650-131,268.14,2,77,0,182
11410-177,88.25,2,0,0,0
11320-74,126.37,2,18,0,7
11590-100227645,37.24,2,0,0,0
11500-100227247,0.0,2,0,0,0
11530-746,0.0,5,0,0,0
11410-179,207.39,2,16,0,11
11500-636,29.17,3,0,0,13
11560-100232814,298.11,2,0,0,34
11410-180,282.717,2,123,0,137
11680-100246489,299.829,5,368,0,645
11410-184,275.98,3,240,0,0
11410-185,286.9,4,242,0,248
11590-45,98.5,9,0,0,0
11410-187,360.85,2,482,0,160
11740-100178414,69.99,2,0,0,0
11410-189,283.77,1,246,0,81
11410-190,265.6,6,344,0,519
11110-397,45.88,2,0,0,4
11410-191,0.0,2,18,0,0
11170-138,60.02,3,0,0,0
11740-100258542,185.05,3,45,0,32
11410-194,0.0,3,0,0,0
11320-258,0.0,0,0,2,0
11590-100230645,260.14,8,471,0,563
11410-196,0.0,2,139,0,0
11230-266,248.69,7,216,0,290
11320-521,0.0,0,15,0,0
11305-100201781,199.34,2,18,0,15
11320-289,181.21,2,19,0,6
11410-198,0.0,3,0,0,0
11410-199,0.0,2,12,0,0
11410-20,0.0,2,18,0,0
11410-258,149.98,5,0,0,114
11320-295,85.7,3,15,0,3
11410-100196471,172.53,2,0,8,0
11410-260,296.54,7,488,0,347
11470-100202427,0.0,2,0,0,4
11470-573,286.37,15,1140,0,1376
11470-100189337,201.52,2,15,0,12
11410-261,253.44,37,1431,0,1188
11410-262,306.37,4,294,0,0
11320-333,216.84,2,17,0,20
11410-269,0.0,5,616,0,749
11410-272,52.73,2,0,0,1
11320-341,147.65,2,19,0,7
11320-511,0.0,0,0,0,0
11320-100183769,199.49,2,18,0,18
11410-274,328.86,10,1155,0,1322
11590-1088,0.0,4,0,0,0
11650-72,174.16,2,0,0,20
11710-138,0.0,2,0,0,14
11545-289,105.11,2,0,1,0
11410-277,195.86,2,16,0,16
11560-1021,0.0,4,0,4,0
11410-281,143.51,2,0,0,2
11410-283,260.03,8,340,0,491
11200-517,0.0,0,0,1,0
11410-288,0.0,3,36,0,0
11410-289,49.28,2,0,0,31
11410-291,0.0,3,36,0,12
11740-100258842,199.97,2,18,0,12
11110-661,0.0,6,0,0,0
11410-292,0.0,2,16,0,0
11410-293,0.0,2,12,0,0
11140-1302,0.0,0,0,1,0
11545-100218697,149.95,2,16,0,13
11410-296,0.0,3,19,0,6
11410-297,0.0,3,72,0,17
11530-100221993,198.61,2,20,0,16
11410-30,151.31,2,0,0,23
11410-305,0.0,2,11,0,0
11410-306,0.0,7,23,0,9
11410-307,0.0,6,45,0,26
11410-308,0.0,2,10,0,6
11410-31,0.0,4,390,0,0
11590-524,0.0,2,0,2,0
11410-311,135.31,5,0,0,67
11410-33,0.0,2,9,0,6
11170-151,114.15,3,0,0,41
11410-337,0.0,2,0,0,0
11170-100182145,199.84,2,0,0,18
11350-327,0.0,4,0,0,0
11215-100213261,0.0,0,0,0,21
11110-528,0.0,2,0,1,0
11410-344,0.0,2,0,2,0
11410-349,0.0,2,0,1,0
11320-356,192.21,2,17,0,6
11410-35,0.0,11,193,0,0
11410-356,0.0,3,0,2,0
11320-465,216.23,2,16,0,12
11320-469,190.25,2,11,0,8
11410-370,0.0,3,0,0,0
11320-474,206.56,2,16,0,11
11320-475,300.0,1,76,0,78
11410-100181760,0.0,2,0,1,0
11410-375,0.0,2,0,2,0
11110-531,0.0,3,0,1,0
11410-38,0.0,6,72,0,0
11410-39,0.0,2,4,0,0
11410-394,127.99,2,0,0,44
11410-395,0.0,2,0,1,0
11380-498,0.0,2,0,0,0
11380-582,0.0,0,0,3,0
11110-538,0.0,2,0,1,0
11530-359,0.0,2,0,0,0
11380-599,0.0,0,0,2,0
11380-127,0.0,2,0,2,0
11410-397,0.0,2,0,0,0
11380-657,0.0,2,16,0,0
11380-100182217,199.34,2,16,0,16
11410-400,0.0,2,0,5,0
11410-402,102.6602,2,0,0,51
11410-404,385.41,4,192,0,255
11410-405,220.51,3,228,0,178
11410-406,229.33,3,139,0,193
11410-41,0.0,2,12,0,0
11410-42,0.0,2,8,0,0
11410-420,0.0,2,0,1,0
11410-427,0.0,2,0,0,0
11410-201,0.0,4,7,0,0
11410-202,0.0,2,12,0,3
11410-203,0.0,2,8,0,3
11560-100186445,245.19,2,91,0,104
11560-100186864,55.18,3,0,0,5
11680-100206103,187.27,8,407,0,441
11680-406,356.95,4,348,0,389
11260-304,0.0,2,0,2,0
11410-204,0.0,5,40,0,0
11410-205,0.0,2,5,0,0
11410-206,0.0,5,1,0,0
11410-207,0.0,4,0,0,0
11410-21,0.0,2,60,0,0
11560-1529,0.0,2,0,0,0
11710-100506261,168.47,27,2200,0,2345
11560-2001,0.0,2,0,3,0
11410-212,0.0,3,0,3,0
11410-213,0.0,2,0,0,0
11560-1153,72.36,2,0,0,6
11560-1183,0.0,2,0,2,0
11410-218,0.0,2,0,2,0
11560-2071,108.43,2,0,0,10
11410-219,0.0,2,0,3,0
11560-2089,157.33,2,11,0,11
11500-884,185.64,2,16,0,16
11410-226,0.0,3,0,2,0
11410-230,0.0,2,0,2,0
11530-100184079,199.83,3,80,0,92
11410-239,31.05,4,0,0,22
11410-24,0.0,2,16,0,3
11500-617,76.14,2,1,0,1
