건축물대장 관리번호,용적율,지상층수,지하층수,승강기 수,주차 대수
11140-17747,0.0,3,1,0,0
11140-20145,0.0,4,0,0,0
11140-23324,0.0,1,0,0,0
11140-9246,270.63,5,1,0,5
11110-22799,0.0,5,1,0,0
11170-11825,180.28,4,1,0,2
11110-7151,0.0,3,1,0,0
11140-5066,0.0,2,0,0,0
11410-11929,0.0,3,1,0,2
11200-11568,99.96,2,1,0,0
11200-11572,49.81,1,0,0,0
11170-2310,128.7908,3,1,0,1
11140-12373,0.0,4,1,0,0
11200-19238,0.0,4,1,0,0
11110-27429,127.75,3,1,0,3
11170-24341,0.0,2,0,0,0
11170-11639,254.33,4,1,0,2
11110-23474,0.0,1,0,0,0
11140-16253,312.7,6,1,0,7
11290-26860,240.43,5,0,0,5
11290-26866,252.84,5,0,1,4
11290-26868,256.4,5,0,1,4
11200-19280,211.32,4,1,0,3
11110-7926,274.41,6,1,1,12
11140-17839,0.0,2,0,0,0
11140-18298,0.0,3,1,0,0
11290-31457,83.0,2,0,0,1
11290-31921,111.76,2,0,0,2
11290-31996,219.89,4,1,1,8
11200-19278,196.48,4,1,0,4
11110-17976,142.92,3,0,0,0
11290-9040,218.35,5,1,0,0
11110-11597,0.0,1,0,0,0
11170-18630,0.0,2,0,0,0
11110-1820,148.75,2,1,0,0
11110-100219425,351.64,6,1,1,1
11380-25855,0.0,1,0,0,0
11110-3714,74.72,1,1,0,0
11710-7483,178.66,4,1,0,3
11140-10077,0.0,3,1,1,0
11200-1000000000000000466882,181.1,4,1,0,5
11110-6472,0.0,2,1,0,0
11110-13846,0.0,5,1,0,0
11380-36249,42.41,1,1,0,0
11110-2095,0.0,3,1,0,0
11650-11379,299.75,6,1,1,14
11110-22182,72.98,1,0,0,0
11140-4648,0.0,2,0,0,0
11170-16410,186.5,4,1,0,3
11140-18265,0.0,4,1,0,2
11140-18682,133.85,3,1,0,2
11140-18785,206.25,5,1,0,3
11410-10060,0.0,4,1,0,2
11650-14838,0.0,4,1,0,6
11680-18213,48.28,2,2,0,9
11170-23944,0.0,3,1,0,0
11680-12126,185.66,4,1,0,3
11170-1607,98.62,2,1,0,3
11140-23798,297.06,5,0,0,1
11170-2534,0.0,2,0,0,0
11680-100219289,192.5,5,0,0,2
11290-35091,0.0,3,1,0,0
11290-35096,0.0,2,0,0,0
11110-24449,140.9,3,1,0,0
11140-3332,0.0,3,0,0,0
11290-39001,0.0,2,1,0,0
11290-39006,50.01,1,0,0,0
11290-39011,70.39,1,0,0,0
11140-3435,0.0,5,1,0,0
11140-4926,0.0,2,0,0,0
11110-29239,0.0,1,0,0,0
11140-6976,0.0,3,0,0,0
11320-100187163,248.55,6,0,1,4
11320-12649,0.0,2,1,0,0
11110-6199,162.2,5,1,0,1
11350-7284,249.91,5,2,1,11
11350-8831,196.42,4,1,0,8
11140-17163,0.0,5,0,0,0
11215-13214,0.0,2,1,0,0
11110-18866,261.41,5,1,0,2
11215-3735,203.78,5,1,1,0
11650-14888,239.33,5,1,0,16
11260-100182084,176.62,3,1,1,0
11260-16620,127.44,2,0,0,0
11170-3192,231.84,5,1,1,6
11590-19886,142.47,3,1,0,3
11260-24627,191.83,5,1,0,0
11260-11735,0.0,2,0,0,0
11290-100245407,145.57,3,1,0,1
11290-10071,238.12,5,1,0,5
11290-15807,0.0,2,1,0,0
11290-15871,0.0,1,0,0,0
11290-25638,113.59,2,0,0,0
11110-19788,0.0,2,0,0,0
11290-25746,149.73,3,0,0,0
11290-25870,97.04,2,0,0,0
11110-22803,0.0,1,0,0,0
11110-21037,283.3,4,0,0,0
11230-100183006,199.43,5,0,0,5
11290-26557,178.52,3,1,0,0
11110-23845,189.62,5,1,0,1
11290-26625,199.95,5,0,0,5
11110-21834,163.4,3,1,0,4
11110-25558,272.86,5,1,0,4
11290-26630,257.23,5,0,0,5
11110-26602,0.0,1,0,0,0
11290-26827,187.28,4,1,0,4
11110-27824,0.0,2,0,0,0
11290-26840,173.64,4,1,0,3
11110-28985,0.0,2,1,0,0
11110-15627,0.0,3,0,0,0
11110-6432,0.0,2,1,0,0
11110-6889,91.35,1,0,0,0
11110-100187359,20.09,1,0,0,0
11110-25887,112.26,2,1,0,0
11140-12074,296.7847,5,1,0,3
11140-13392,0.0,2,0,0,0
11110-26998,355.01,6,2,1,3
11470-100218266,143.86,3,0,1,7
11470-17514,218.52,5,1,0,4
11680-13970,206.75,4,1,0,6
11170-15147,0.0,2,1,0,0
11470-17312,0.0,3,1,0,0
11710-100531682,194.78,5,1,1,14
11710-13864,0.0,4,1,0,3
11680-21310,159.71,4,1,0,3
11170-21815,0.0,2,1,0,0
